Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume
8,Alcoholic Drinks,15,1,Total Volume,Diageo Plc,million litres,2017,31/12/17,5,35506.37732
8,Alcoholic Drinks,15,1,Total Volume,Pernod Ricard Groupe,million litres,2017,31/12/17,5,18482.5958
8,Alcoholic Drinks,15,1,Total Volume,Hite Jinro Co Ltd,million litres,2017,31/12/17,5,11121.69868
8,Alcoholic Drinks,15,1,Total Volume,Thai Beverage PCL,million litres,2017,31/12/17,5,6252.38259
8,Alcoholic Drinks,15,1,Total Volume,Suntory Holdings Ltd,million litres,2017,31/12/17,5,7834.494901
8,Alcoholic Drinks,15,1,Total Volume,Beijing Shunxin Agriculture Co Ltd,million litres,2017,31/12/17,5,2446.943741
8,Alcoholic Drinks,15,1,Total Volume,Allied Blenders & Distillers Pvt Ltd,million litres,2017,17/12/31,5,5373.662882
8,Alcoholic Drinks,15,1,Total Volume,Bacardi & Co Ltd,million litres,2017,31/12/17,5,4770.918623
8,Alcoholic Drinks,15,1,Total Volume,Lotte Group,million litres,2017,31/12/17,5,1926.566783
8,Alcoholic Drinks,15,1,Total Volume,Alliance Global Group Inc,million litres,2017,31/12/17,5,1549.127299
8,Alcoholic Drinks,15,1,Total Volume,Russian Standard Corp,million litres,2017,17/12/31,5,1670.209463
8,Alcoholic Drinks,15,1,Total Volume,San Miguel Corp,million litres,2017,31/12/17,5,1242.829771
8,Alcoholic Drinks,15,1,Total Volume,Sazerac Co Inc,million litres,2017,31/12/17,5,1463.857554
8,Alcoholic Drinks,15,1,Total Volume,Muhak Co Ltd,million litres,2017,31/12/17,5,2365.222039
8,Alcoholic Drinks,15,1,Total Volume,Brown-Forman Corp,million litres,2017,31/12/17,5,1622.630286
8,Alcoholic Drinks,15,1,Total Volume,"Campari Milano SpA, Davide",million litres,2017,17/12/31,5,1239.428524
8,Alcoholic Drinks,15,1,Total Volume,Sujiu Group,million litres,2017,31/12/17,5,1155.34743
8,Alcoholic Drinks,15,1,Total Volume,Luzhou Lao Jiao Co Ltd,million litres,2017,31/12/17,5,1629.870008
8,Alcoholic Drinks,15,1,Total Volume,Jing Brand Co Ltd,million litres,2017,31/12/17,5,1174.469918
