,Location,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Year_text,Volume (millions of liters),
0,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,2613.845506,5
1,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,2513.025824,5
2,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,2421.088595,5
3,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,2422.128432,5
4,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,2439.33622,5
5,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,2350.706878,5
6,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,2334.371075,5
7,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,2411.08918,5
8,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,2514.830016,5
9,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,2541.507631,5
10,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,2693.28005,5
11,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,2842.976953,5
12,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,2992.020037,5
13,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,3129.02332,5
14,1,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,3230.097024,5
15,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,1527.323946,5
16,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,1560.079203,5
17,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,1603.217792,5
18,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,1623.818046,5
19,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,1651.190297,5
20,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,1687.361082,5
21,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,1674.914394,5
22,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,1628.408856,5
23,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,1593.177076,5
24,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,1511.083599,5
25,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,1494.300042,5
26,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,1482.403794,5
27,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,1462.889904,5
28,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,1475.318219,5
29,2,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,1481.95942,5
30,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,519.1570874,5
31,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,498.6295535,5
32,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,525.5636082,5
33,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,673.0312344,5
34,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,816.6885596,5
35,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,908.3348745,5
36,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,951.7625705,5
37,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,954.5248795,5
