,Location,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Year_text,Volume
0,8,15,1,Total Volume,Diageo Plc,2017,35506.37732
1,8,15,1,Total Volume,Pernod Ricard Groupe,2017,18482.5958
2,8,15,1,Total Volume,Hite Jinro Co Ltd,2017,11121.69868
3,8,15,1,Total Volume,Thai Beverage PCL,2017,6252.38259
4,8,15,1,Total Volume,Suntory Holdings Ltd,2017,7834.494901
5,8,15,1,Total Volume,Beijing Shunxin Agriculture Co Ltd,2017,2446.943741
6,8,15,1,Total Volume,Allied Blenders & Distillers Pvt Ltd,2017,5373.662882
7,8,15,1,Total Volume,Bacardi & Co Ltd,2017,4770.918623
8,8,15,1,Total Volume,Lotte Group,2017,1926.566783
9,8,15,1,Total Volume,Alliance Global Group Inc,2017,1549.127299
10,8,15,1,Total Volume,Russian Standard Corp,2017,1670.209463
11,8,15,1,Total Volume,San Miguel Corp,2017,1242.829771
12,8,15,1,Total Volume,Sazerac Co Inc,2017,1463.857554
13,8,15,1,Total Volume,Muhak Co Ltd,2017,2365.222039
14,8,15,1,Total Volume,Brown-Forman Corp,2017,1622.630286
15,8,15,1,Total Volume,"Campari Milano SpA, Davide",2017,1239.428524
16,8,15,1,Total Volume,Sujiu Group,2017,1155.34743
17,8,15,1,Total Volume,Luzhou Lao Jiao Co Ltd,2017,1629.870008
18,8,15,1,Total Volume,Jing Brand Co Ltd,2017,1174.469918
19,8,15,1,Total Volume,Tanduay Distillers Inc,2017,1036.747807
20,8,15,1,Total Volume,Sichuan Yibin Wuliangye Distillery Co Ltd,2017,1185.850135
21,8,15,1,Total Volume,Radico Khaitan Ltd,2017,757.9420818
22,8,15,1,Total Volume,Takara Holdings Inc,2017,771.7816623
23,8,15,1,Total Volume,Cia Muller de Bebidas Ltda,2017,733.1682916
24,8,15,1,Total Volume,Capital Wine Group Ltd,2017,766.5057202
25,8,15,1,Total Volume,John Distilleries Pvt Ltd,2017,746.5450661
26,8,15,1,Total Volume,Stock Spirits Group,2017,711.0584311
27,8,15,1,Total Volume,Heaven Hill Distilleries Inc,2017,494.9522422
28,8,15,1,Total Volume,Marie Brizard & Roger International SAS,2017,1115.775319
29,8,15,1,Total Volume,William Grant & Sons Ltd,2017,1554.527853
30,8,15,1,Total Volume,Kumbokju Co Ltd,2017,548.4756115
31,8,15,1,Total Volume,Jagatjit Industries Ltd,2017,389.3126517
32,8,15,1,Total Volume,Tatspirtprom OAO,2017,417.4135883
33,8,15,1,Total Volume,Kirishima Corp,2017,334.3949527
34,8,15,1,Total Volume,Asahi Group Holdings Ltd,2017,356.1170442
35,8,15,1,Total Volume,Global Spirits AMG-77 Holding Co,2017,306.566069
36,8,15,1,Total Volume,Constellation Brands Inc,2017,347.3104136
37,8,15,1,Total Volume,Sanwa Shurui Co Ltd,2017,294.3299795
38,8,15,1,Total Volume,Sichuan Jian Nan Chun (Group) Co Ltd,2017,379.5017431
39,8,15,1,Total Volume,La Martiniquaise SVS,2017,208.3778782
40,8,15,1,Total Volume,Anhui Gujing Group Co Ltd,2017,279.6438919
41,8,15,1,Total Volume,E&J Gallo Winery Inc,2017,144.658509
42,8,15,1,Total Volume,Status Group OOO,2017,283.9689949
43,8,15,1,Total Volume,Nigeria Distilleries Ltd,2017,285.4195146
44,8,15,1,Total Volume,LVMH MoÃ«t Hennessy Louis Vuitton SA,2017,204.2821003
45,8,15,1,Total Volume,Oenon Holdings Inc,2017,110.0000024
46,8,15,1,Total Volume,Edrington Group,2017,252.4954917
47,8,15,1,Total Volume,IndÃºstrias Reunidas de Bebidas Tatuzinho / 3 Fazendas Ltda,2017,198.2200553
48,8,15,1,Total Volume,Mast-JÃ¤germeister SE,2017,217.8092267
49,8,15,1,Total Volume,Engarrafamento PitÃº Ltda,2017,194.1844036
50,8,15,1,Total Volume,Intercontinental Distillers Ltd,2017,317.5936067
51,8,15,1,Total Volume,Kweichow Moutai Co Ltd,2017,478.6144925
52,8,15,1,Total Volume,Shaanxi Xifeng Liquor Co Ltd,2017,18146.17543
53,8,15,1,Total Volume,Distell Group Ltd,2017,279.0627358
54,8,15,1,Total Volume,Fenjiu Group,2017,10619.6407
55,8,15,1,Total Volume,"Fifth Generation, Inc",2017,1101.574601
56,8,15,1,Total Volume,Hebei Hengshui Laobaigan Liquor Co Ltd,2017,1080.866152
57,8,15,1,Total Volume,Mohan Meakin Ltd,2017,364.0999947
58,8,15,1,Total Volume,Bayadera Holding TOV,2017,5578.175039
59,8,15,1,Total Volume,Distilleries Co of Sri Lanka Plc,2017,1140.302459
60,8,15,1,Total Volume,Shandong JingZhi Distillery Co Ltd,2017,764.690083
61,8,15,1,Total Volume,DestilerÃ­as Unidas SA,2017,281.5400094
62,8,15,1,Total Volume,Bohae Brewery Co Ltd,2017,1735.877818
63,8,15,1,Total Volume,RÃ©my Cointreau Group,2017,30053.86642
64,8,15,1,Total Volume,Alkogolnaya Sibirskaya Gruppa OOO,2017,39275.08273
65,8,15,1,Total Volume,Herman Jansen Beverages Nederland BV,2017,41143.35765
66,8,15,1,Total Volume,Nemiroff UVK,2017,41080.236
67,8,15,1,Total Volume,Guangdong Jiujiang Distillery Co Ltd,2017,52147.56899
